nama,stars,text,fake_score,label,reason,has_image
ratna sundari,5,"Kesini makan yamin, nasi rawon ayam, es teler durian, es doger dan es jeruk. Dari semua menunya gaada yg zonk samsek. Yamin yg asin dan pedas si enak banget. Rawonnya jg enak. Es teler duriannya cuma kurang 1, kurang banyak hahahahaha. Es jeruknya jg enak seger gt. harganya affordable banget jg. Wajib kesini si kalau turun di stasiun lempuyangan",3,REAL,Terlihat asli,False
Nabilla Kirana Putriyana,5,"tempatnya sangat nyaman, recomended buat ngumpul bareng temen",4,FAKE,Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
Cahyo Trio,4,Madyang,4,FAKE,Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide,False
Dade Atman,5,"Resto yg enak buat makan bersama keluarga, teman bahkan utk sendiri.
Lokasinya yg dekat lampu merah membuat agak susah utk keluar masuk. Menyesuaikan dg traffic light.

Pelayanan baik dan ramah.
Rasa makanan oke banget, tampilan cantik dan enak. Puas kalo abis makan di sini.

Tersedia toilet.
Parkir berbayar.",2,REAL,Terlihat asli,True
Abim Fardiansyah,5,Enak..,6,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
Fadly Moch,5,"tumben pelayanannya cepet , walaupun rasa sedikit ke asinan",3,REAL,Terlihat asli,False
Eric,5,Mantap keren,5,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
Antonius Rujiman,5,,8,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Reviewer baru (<=2 review); Banyak review di hari yg sama (>5),False
Teo Saputra,5,"Salah satu warmindo yg selalu ramai, mungkin karena lokasinya yg disamping persis GOR Klebengan. Dengan harga sama dengan warmindo lainnya di jogja.",1,REAL,Terlihat asli,False
arkeon,5,uenak poll,8,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
ChD X,3,"untuk rasa gaada yang masalah, cuman dulu kayaknya gaada tukang parkir terus sekarang ada… cuman datang doang ga ngapa-ngapain… udah nanya ke kasir juga dan mengiyakan sambil minta maaf",3,REAL,Terlihat asli,False
Naomi Elizabeth Turnip,5,,9,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
fajar adhi pangestu,5,,4,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer,False
Antoni Firdaus,5,Tersedia resto dan ruang meeting sederhana,1,REAL,Terlihat asli,False
Ricky Fauzi,4,,3,REAL,Terlihat asli,False
Arya Syailendra,5,,7,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide,False
arie ara,5,,6,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
naris aji,5,Recomended,5,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
Meike Mayasari,5,Sejuk dan menyenangkan,8,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Firdaus Pawestri,4,"The food was not the best, but the service and atmosfer is good",2,REAL,Terlihat asli,True
Dienti Cahya,5,So goooodd👍✨️,6,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
미렌강,5,"Sushi shashiminya seger, ramennya juga sedep banget dibanding yg lain. Top markotop, apalagi ini dapet birthday traet. Rekomen yang ultah makan disini aja.",6,FAKE,Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Adnan Syarief,5,Nice ramen 👌,5,FAKE,Bintang 5 & teks sangat pendek; Tidak ada foto reviewer; Banyak review di hari yg sama (>5),False
rizki nur rahayu,5,"Makanan & minumannya semua enak!! Tempatnya nyaman dan pelayanannya juga oke banget ramah-ramah.
Pokoknya best banget!",3,REAL,Terlihat asli,True
Yoppi Prayogo,5,It's a right place to enjoy your loneliness,0,REAL,Terlihat asli,True
nabiyla ayu,5,,9,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Widya Dwi Lestari,4,Rasa makanan standar. Kentang gorengnya udah dingin,0,REAL,Terlihat asli,True
pure greentea,5,Ayam geprek terenak dan fav anak kos,5,FAKE,Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),True
Dwi Handoko Wisata Yogya,5,Makanannya enak dan harga bersahabat,3,REAL,Terlihat asli,False
Ivan Studio Music Production,1,"Kalau rasa mah selera lah ya. Tapi ini berasa bukan tempat makan sih. Jorok pol. Mejanya gak di clean up banyak banget yang gak dibersihin, kalau konsepnya kita sebagai pelanggan buang sendiri. Gak ada tempat sampah yg disediakan. Kalau ada yg tumpah yg kotor tuh gak diberesin. Selama makan disana gak pernah liat sih emang yg tugas buat bersih bersih. Setiap ruangan banyak lalatnya yg super banyak gitu. Terus french frienya diwadahin gelas, ini kocak sih.",6,FAKE,Tidak ada foto reviewer; Reviewer baru (<=2 review); Bukan Local Guide; Banyak review di hari yg sama (>5),False
Ilham widyo Nugroho,4,"Tolong banget lah bro tertipin itu parkir liar bikin males, orang udah di bilang ngga ada receh masih aja di mintain trs pas dateng ngga ada tiba2 mau pergi muncul.",4,FAKE,Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
felix tri,5,,4,FAKE,Bintang 5 tanpa teks; Tidak ada foto reviewer,False
Achmad Ananta,5,"Mbak-mbaknya ramah dan full senyum.
Bisa claim promo birthday juga 🤩",4,FAKE,Tidak ada foto reviewer; Bukan Local Guide; Banyak review di hari yg sama (>5),False
